Matricula,Nome,CPF,DataNascimento,DataPrisao,Regime,CodCela
10001,João Pereira,12345678901,1990-01-15,2023-05-20,Fechado,10
10002,Roberto Alves,23456789012,1985-11-30,2021-02-10,Fechado,10
10003,Marcos Vinicius,34567890123,1995-07-02,2024-01-05,Semiaberto,12
10004,Paulo Lima,45678901234,2000-03-25,2024-03-10,Provisório,13
10005,Ricardo Santos,56789012345,1992-09-12,2022-11-15,Fechado,10
10006,Anderson Costa,67890123456,1988-04-08,2021-08-22,Semiaberto,12
10007,Thiago Rocha,78901234567,1997-02-18,2024-06-02,Provisório,13
10008,Gabriel Mendes,89012345678,1991-07-09,2020-03-19,Fechado,10
10009,Pedro Nascimento,90123456789,1986-12-05,2022-05-14,Semiaberto,12
10010,Lucas Oliveira,01234567890,1994-08-25,2023-01-10,Fechado,10
10011,Felipe Moraes,12345098765,1999-10-03,2024-04-18,Provisório,13
10012,Diego Cardoso,23456098765,1983-05-14,2020-09-27,Fechado,10
10013,Vinícius Ramos,34567098765,1991-06-22,2023-03-08,Semiaberto,12
10014,Alexandre Pinto,45678098765,1987-11-19,2021-01-17,Fechado,10
10015,Bruno Teixeira,56789098765,1998-09-30,2024-02-12,Provisório,13
10016,Rafael Silva,67890098765,1996-02-25,2023-07-04,Semiaberto,12
10017,Guilherme Santos,78901098765,1984-08-01,2019-12-15,Fechado,10
10018,Matheus Costa,89012098765,1993-03-11,2022-06-22,Semiaberto,12
10019,Leonardo Lima,90123098765,1990-12-29,2021-09-11,Fechado,10
10020,Daniel Rocha,01234098765,1997-05-07,2024-03-19,Provisório,13
10021,André Oliveira,12345609876,1989-07-30,2020-08-20,Fechado,10
10022,Henrique Castro,23456709876,1992-11-08,2022-12-14,Semiaberto,12
10023,Fabiano Barbosa,34567809876,1986-02-27,2019-05-09,Fechado,10
10024,Otávio Mendes,45678909876,1998-10-20,2024-01-03,Provisório,13
10025,Samuel Almeida,56789009876,1995-06-16,2023-02-10,Semiaberto,12
10026,Igor Pires,67890109876,1990-03-12,2020-04-25,Fechado,10
10027,Everton Campos,78901209876,1985-09-01,2021-07-14,Fechado,10
10028,Jonathan Melo,89012309876,1994-01-28,2022-10-19,Semiaberto,12
10029,Cláudio Reis,90123409876,1983-04-09,2018-11-22,Fechado,10
10030,Marcelo Torres,01234509876,1999-12-15,2024-05-06,Provisório,13
10031,Rodrigo Tavares,12345670987,1991-09-17,2023-06-27,Semiaberto,12
10032,Mateus Nogueira,23456780987,1988-08-23,2020-01-18,Fechado,10
10033,Wellington Farias,34567890987,1997-02-10,2024-03-12,Provisório,13
10034,Patrick Souza,45678901987,1986-07-26,2019-09-07,Fechado,10
10035,João Paulo Dias,56789012987,1995-03-20,2022-11-30,Semiaberto,12
10036,André Luiz Gomes,67890123987,1989-05-22,2021-04-08,Fechado,10
10037,Ricardo Martins,78901234987,1993-11-13,2023-09-17,Semiaberto,12
10038,Tiago Ramos,89012345987,1987-12-25,2020-07-02,Fechado,10
10039,Caio Matos,90123456987,1996-06-14,2024-01-22,Provisório,13
10040,Hugo Brito,01234567987,1990-02-18,2023-05-05,Fechado,10
10041,Ramon Duarte,12345678977,1984-04-21,2019-02-19,Fechado,10
10042,Edson Ferreira,23456789077,1999-03-15,2024-04-01,Provisório,13
10043,Rodrigo Freitas,34567890177,1988-08-11,2020-10-09,Semiaberto,12
10044,Renan Silva,45678901277,1986-05-12,2019-06-20,Fechado,10
10045,Gustavo Carvalho,56789012377,1994-09-07,2022-08-24,Semiaberto,12
10046,Leandro Moreira,67890123477,1989-01-28,2020-02-13,Fechado,10
10047,Fernando Lima,78901234577,1998-12-19,2024-06-08,Provisório,13
10048,Vitor Almeida,89012345677,1985-10-04,2019-11-14,Fechado,10
10049,Luan Moura,90123456777,1993-07-31,2023-01-29,Semiaberto,12
10050,Alan Rodrigues,01234567877,1997-09-16,2024-02-09,Provisório,13
10051,Renato Pacheco,12345678967,1988-11-03,2021-10-27,Fechado,10
10052,Paulo César,23456789067,1991-06-22,2022-12-05,Semiaberto,12
10053,Luciano Batista,34567890167,1987-02-16,2019-04-03,Fechado,10
10054,Alex Morais,45678901267,1999-01-14,2024-03-11,Provisório,13
10055,Diego Fernandes,56789012367,1995-08-19,2023-08-02,Semiaberto,12
10056,Murilo Azevedo,67890123467,1984-05-05,2019-09-23,Fechado,10
10057,William Freire,78901234567,1992-03-01,2022-07-17,Semiaberto,12
10058,Lucas Nunes,89012345667,1997-12-12,2024-01-30,Provisório,13
10059,Bruno Soares,90123456767,1989-10-28,2021-05-12,Fechado,10
10060,Fábio Assis,01234567867,1986-06-09,2019-03-08,Fechado,10
10061,Douglas Correia,12345678957,1994-04-02,2023-06-20,Semiaberto,12
10062,Daniel Borges,23456789057,1990-09-25,2020-12-29,Fechado,10
10063,Marcelo Guimarães,34567890157,1985-08-10,2018-10-11,Fechado,10
10064,Eduardo Prado,45678901257,1998-05-15,2024-04-04,Provisório,13
10065,Robson Lira,56789012357,1992-11-08,2022-05-28,Semiaberto,12
10066,Tiago Cunha,67890123457,1988-03-06,2021-08-09,Fechado,10
10067,Vinícius Rocha,78901234557,1993-01-30,2023-03-16,Semiaberto,12
10068,Arthur Castro,89012345657,1989-07-24,2020-06-18,Fechado,10
10069,Pedro Souza,90123456757,1996-09-09,2024-02-01,Provisório,13
10070,Matheus Duarte,01234567857,1984-02-28,2019-11-25,Fechado,10
10071,César Queiroz,12345678947,1991-12-03,2022-08-16,Semiaberto,12
10072,Thiago Ribeiro,23456789047,1987-06-29,2020-09-05,Fechado,10
10073,Everton Araújo,34567890147,1995-10-22,2023-02-18,Semiaberto,12
10074,Anderson Moraes,45678901247,1989-03-04,2021-01-23,Fechado,10
10075,Mateus Xavier,56789012347,1997-07-27,2024-06-01,Provisório,13
10076,Gustavo Braga,67890123447,1985-01-09,2019-07-07,Fechado,10
10077,Leandro Teles,78901234547,1992-10-01,2022-11-15,Semiaberto,12
10078,Fernando Lopes,89012345647,1988-05-18,2021-03-14,Fechado,10
10079,Rafael Santana,90123456747,1996-11-12,2024-04-10,Provisório,13
10080,Renan Duarte,01234567847,1983-09-26,2018-08-02,Fechado,10
10081,Caio Fernandes,12345678937,1990-01-17,2020-02-11,Fechado,10
10082,Lucas Pimentel,23456789037,1993-03-29,2022-07-20,Semiaberto,12
10083,Henrique Souza,34567890137,1987-04-05,2019-06-30,Fechado,10
10084,Victor Campos,45678901237,1995-08-14,2023-10-05,Semiaberto,12
10085,João Marcos,56789012337,1989-02-02,2021-09-16,Fechado,10
10086,Felipe Torres,67890123437,1998-07-21,2024-05-09,Provisório,13
10087,Guilherme Araujo,78901234537,1991-12-11,2022-04-25,Semiaberto,12
10088,Luiz Gustavo,89012345637,1986-06-17,2020-11-08,Fechado,10
10089,Fernando Almeida,90123456737,1994-09-04,2023-02-02,Semiaberto,12
10090,Bruno Santos,01234567837,1998-03-13,2024-06-03,Provisório,13
10091,Ricardo Mendes,12345678927,1984-08-30,2019-05-20,Fechado,10
